               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11621,            0.045742,            0.052054,                   0,                   0,                   0,                   0,             0.11924,            0.027677,             0.05943,              0.0919,              0.0009,              0.0009
                   1,             0.11241,            0.044691,            0.051057,                   0,                   0,                   0,                   0,             0.11613,            0.027856,             0.05494,            0.082712,           0.0017119,           0.0017119
                   2,             0.10705,            0.051142,            0.048314,                   0,                   0,                   0,                   0,             0.10965,            0.028632,            0.051419,            0.073326,           0.0023258,           0.0023258
                   3,              0.1002,              0.0427,            0.042522,                   0,                   0,                   0,                   0,              0.1028,             0.02892,            0.047276,            0.063742,           0.0027417,           0.0027417
                   4,            0.097518,            0.049528,            0.043644,                   0,                   0,                   0,                   0,              0.1028,             0.02892,            0.047276,             0.05396,           0.0029596,           0.0029596
                   5,            0.099498,            0.056091,            0.041432,                   0,                   0,                   0,                   0,            0.098508,             0.02929,            0.044068,             0.04398,           0.0029795,           0.0029795
                   6,            0.096711,            0.061057,            0.039785,                   0,                   0,                   0,                   0,            0.098508,             0.02929,            0.044068,            0.033801,           0.0028014,           0.0028014
                   7,             0.09378,            0.056284,            0.038327,            0.009434,                   1,            0.045258,           0.0085992,            0.087501,            0.031664,            0.037199,            0.023425,           0.0024253,           0.0024253
                   8,            0.092972,            0.051533,            0.036793,            0.009434,                   1,            0.045258,           0.0085992,            0.087501,            0.031664,            0.037199,            0.012851,           0.0018512,           0.0018512
                   9,              0.0997,            0.062207,            0.037057,            0.009434,                   1,            0.045258,           0.0085992,            0.087501,            0.031664,            0.037199,           0.0020791,           0.0010791,           0.0010791
